Series_Title,Year,title_norm
Star Wars: Episode V - The Empire Strikes Back,1980,star wars episode v  the empire strikes back
Hamilton,2020,hamilton
Gisaengchung,2019,gisaengchung
Soorarai Pottru,2020,soorarai pottru
Sen to Chihiro no kamikakushi,2001,sen to chihiro no kamikakushi
Seppuku,1962,seppuku
Shichinin no samurai,1954,shichinin no samurai
Joker,2019,joker
Hotaru no haka,1988,hotaru no haka
Capharnaüm,2018,capharnaüm
Ayla: The Daughter of War,2017,ayla the daughter of war
Vikram Vedha,2017,vikram vedha
Kimi no na wa.,2016,kimi no na wa
Spider-Man: Into the Spider-Verse,2018,spiderman into the spiderverse
Avengers: Endgame,2019,avengers endgame
Avengers: Infinity War,2018,avengers infinity war
Coco,2017,coco
Oldeuboi,2003,oldeuboi
Mononoke-hime,1997,mononokehime
Anand,1971,anand
Tengoku to jigoku,1963,tengoku to jigoku
Sunset Blvd.,1950,sunset blvd
1917,2019,1917
Tumbbad,2018,tumbbad
Andhadhun,2018,andhadhun
Jodaeiye Nader az Simin,2011,jodaeiye nader az simin
Miracle in cell NO.7,2019,miracle in cell no7
Babam ve Oglum,2005,babam ve oglum
Bacheha-Ye aseman,1997,bachehaye aseman
Idi i smotri,1985,idi i smotri
Star Wars: Episode VI - Return of the Jedi,1983,star wars episode vi  return of the jedi
M - Eine Stadt sucht einen Mörder,1931,m  eine stadt sucht einen mörder
Chhichhore,2019,chhichhore
Uri: The Surgical Strike,2018,uri the surgical strike
K.G.F: Chapter 1,2018,kgf chapter 1
Green Book,2018,green book
"Three Billboards Outside Ebbing, Missouri",2017,three billboards outside ebbing missouri
Klaus,2019,klaus
Queen,2013,queen
V for Vendetta,2005,v for vendetta
Hauru no ugoku shiro,2004,hauru no ugoku shiro
Eskiya,1996,eskiya
Dom za vesanje,1988,dom za vesanje
Tonari no Totoro,1988,tonari no totoro
Yôjinbô,1961,yôjinbô
Tôkyô monogatari,1953,tôkyô monogatari
Rashômon,1950,rashômon
Portrait de la jeune fille en feu,2019,portrait de la jeune fille en feu
Koe no katachi,2016,koe no katachi
Ah-ga-ssi,2016,ahgassi
Soul,2020,soul
Kis Uykusu,2014,kis uykusu
Ôkami kodomo no Ame to Yuki,2012,ôkami kodomo no ame to yuki
Ford v Ferrari,2019,ford v ferrari
Okuribito,2008,okuribito
Taegukgi hwinalrimyeo,2004,taegukgi hwinalrimyeo
Salinui chueok,2003,salinui chueok
"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",1997,shin seiki evangelion gekijôban airmagokoro wo kimi ni
"Crna macka, beli macor",1998,crna macka beli macor
Fa yeung nin wah,2000,fa yeung nin wah
Trois couleurs: Rouge,1994,trois couleurs rouge
Chung Hing sam lam,1994,chung hing sam lam
Ba wang bie ji,1993,ba wang bie ji
Dà hóng denglong gaogao guà,1991,dà hóng denglong gaogao guà
Kaze no tani no Naushika,1984,kaze no tani no naushika
Zerkalo,1975,zerkalo
Ivanovo detstvo,1962,ivanovo detstvo
Kakushi-toride no san-akunin,1958,kakushitoride no sanakunin
Kumonosu-jô,1957,kumonosujô
Badhaai ho,2018,badhaai ho
Togo,2019,togo
Bãhubali: The Beginning,2015,bãhubali the beginning
Kaguyahime no monogatari,2013,kaguyahime no monogatari
Wonder,2017,wonder
Gully Boy,2019,gully boy
Special Chabbis,2013,special chabbis
Serbuan maut 2: Berandal,2014,serbuan maut 2 berandal
Blade Runner 2049,2017,blade runner 2049
Bohemian Rhapsody,2018,bohemian rhapsody
Tropa de Elite 2: O Inimigo Agora é Outro,2010,tropa de elite 2 o inimigo agora é outro
Darbareye Elly,2009,darbareye elly
Yip Man,2008,yip man
Nefes: Vatan Sagolsun,2009,nefes vatan sagolsun
Bin-jip,2004,binjip
Vozvrashchenie,2003,vozvrashchenie
Bom Yeoareum Gaeul Gyeoul Geurigo Bom,2003,bom yeoareum gaeul gyeoul geurigo bom
Mar adentro,2014,mar adentro
Mou gaan dou,2002,mou gaan dou
Yeopgijeogin geunyeo,2001,yeopgijeogin geunyeo
Pâfekuto burû,1997,pâfekuto burû
Kôkaku Kidôtai,1995,kôkaku kidôtai
Tenkû no shiro Rapyuta,1986,tenkû no shiro rapyuta
Arsenic and Old Lace,1942,arsenic and old lace
Bronenosets Potemkin,1925,bronenosets potemkin
Knives Out,2019,knives out
Dil Bechara,2020,dil bechara
Manbiki kazoku,2018,manbiki kazoku
Marriage Story,2019,marriage story
Isle of Dogs,2018,isle of dogs
Jojo Rabbit,2019,jojo rabbit
Star Wars: Episode VII - The Force Awakens,2015,star wars episode vii  the force awakens
The Irishman,2019,the irishman
"4 luni, 3 saptamâni si 2 zile",2007,4 luni 3 saptamâni si 2 zile
The Fall,2006,the fall
Ying xiong,2002,ying xiong
Cowboy Bebop: Tengoku no tobira,2001,cowboy bebop tengoku no tobira
Mulholland Dr.,2001,mulholland dr
Mimi wo sumaseba,1995,mimi wo sumaseba
Trois couleurs: Bleu,1993,trois couleurs bleu
Jûbê ninpûchô,1993,jûbê ninpûchô
La montaña sagrada,1973,la montaña sagrada
The Gentlemen,2019,the gentlemen
Raazi,2018,raazi
Sound of Metal,2019,sound of metal
Forushande,2016,forushande
Paddington 2,2017,paddington 2
M.S. Dhoni: The Untold Story,2016,ms dhoni the untold story
Rogue One,2016,rogue one
Little Women,2019,little women
Loving Vincent,2017,loving vincent
Kaze tachinu,2013,kaze tachinu
Toy Story 4,2019,toy story 4
Kokuhaku,2010,kokuhaku
Ang-ma-reul bo-at-da,2010,angmareul boatda
Ajeossi,2010,ajeossi
Madeo,2009,madeo
Chugyeokja,2008,chugyeokja
Das weiße Band - Eine deutsche Kindergeschichte,2009,das weiße band  eine deutsche kindergeschichte
The Trial of the Chicago 7,2020,the trial of the chicago 7
Druk,2020,druk
Tôkyô goddofâzâzu,2003,tôkyô goddofâzâzu
Gongdong gyeongbi guyeok JSA,2000,gongdong gyeongbi guyeok jsa
Wo hu cang long,2000,wo hu cang long
Hana-bi,1997,hanabi
Lat sau san taam,1992,lat sau san taam
Majo no takkyûbin,1989,majo no takkyûbin
Dip huet seung hung,1989,dip huet seung hung
Scarface: The Shame of the Nation,1932,scarface the shame of the nation
Roma,2018,roma
Deadpool 2,2018,deadpool 2
Mission: Impossible - Fallout,2018,mission impossible  fallout
Omoide no Mânî,2014,omoide no mânî
Kingsman: The Secret Service,2014,kingsman the secret service
Birdman or (The Unexpected Virtue of Ignorance),2014,birdman or the unexpected virtue of ignorance
La vie d'Adèle,2013,la vie dadèle
Le Petit Prince,2015,le petit prince
X: First Class,2011,x first class
Gake no ue no Ponyo,2008,gake no ue no ponyo
Papurika,2006,papurika
Toki o kakeru shôjo,2006,toki o kakeru shôjo
Death Note: Desu nôto,2006,death note desu nôto
Ex Machina,2014,ex machina
Kung fu,2004,kung fu
In America,2002,in america
Interstate 60: Episodes of the Road,2002,interstate 60 episodes of the road
Do lok tin si,1995,do lok tin si
Kurenai no buta,1992,kurenai no buta
Der Name der Rose,1986,der name der rose
Dark Waters,2019,dark waters
Searching,2018,searching
Once Upon a Time... in Hollywood,2019,once upon a time in hollywood
Nelyubov,2017,nelyubov
The Florida Project,2017,the florida project
Just Mercy,2019,just mercy
The Peanut Butter Falcon,2019,the peanut butter falcon
Only the Brave,2017,only the brave
Incredibles 2,2018,incredibles 2
Leviafan,2014,leviafan
Kari-gurashi no Arietti,2010,karigurashi no arietti
A Star Is Born,2018,a star is born
Huo Yuan Jia,2006,huo yuan jia
Boksuneun naui geot,2002,boksuneun naui geot
Batoru rowaiaru,2000,batoru rowaiaru
Harry Potter and the Sorcerer's Stone,2001,harry potter and the sorcerers stone
Apollo 13,,apollo 13
Trois couleurs: Blanc,1994,trois couleurs blanc
Omohide poro poro,1991,omohide poro poro
"Planes, Trains & Automobiles",1987,planes trains  automobiles
